<strong>Внимание</strong><br> Для полного отчета необходим билд проекта:<br> <ol><li>Project->Clean...</li><li>Project->Build Project</li></ol>										
CLASS_ID	SHORT_NAME	SECTION	LINE	CHECK	LEVEL	TYPE	ERROR	PLAN	SOURCE	META
PSH_ETO_CARD	PSH_SCL	PRIVATE	72	sizeless	WARNING	JAVA,PLSQL	Переменная idx без указания размерности		public function getLastChangeFromTab(idx varchar2) return ref [CL_HIST] is	"{
  ""SUPPRESSION_URI"" : ""TYPE/STRUCTURE/PSH_ETO_CARD/PSH_SCL.plp/0/@methodDeclaration/@function_body[getLastChangeFromTab]/@declareParams/@param[idx]/@datatype(0)/@-1254919979/SIZELESS""
}"
PSH_ETO_CARD	PSH_SCL	PRIVATE	90	reference_comparison	WARNING	DBI	Запрещено использование сравнительных операторов <, >, <=, >= в выражении с ссылочной переменной.		"		if lastSendInfoTab(idx).clLastChange > lastSendInfoTab(idx).clLastSend then"	"{
  ""SUPPRESSION_URI"" : ""TYPE/STRUCTURE/PSH_ETO_CARD/PSH_SCL.plp/0/@methodDeclaration/@procedure_body[sendChangedClients]/@blockBody/@blockBodyElements/@blockSequence/@while_loop_statement.1/@list_of_ls.0/@if_statement.2/@ifThen/@subExpression/@left/@-1242974978/REFERENCE_COMPARISON""
}"
RBL_SHARES	VW_CRIT_RBL_SHARES_REGISTRY_EX		18	udf	WARNING	DBI,JAVA,PLSQL	Обнаружен UDF исполняемый во время fetch-а SQL		"			::[RBL_FUNDS].[LIB_IMPORT].get_insurance_type_code(x.[INSURANCE_TYPE]) : C_INSURANCE_TYPE_CODE,"	"{
  ""SUPPRESSION_URI"" : ""TYPE/STRUCTURE/RBL_SHARES/VW_CRIT_RBL_SHARES_REGISTRY_EX.vw/0/@PLPView[VW_CRIT_RBL_SHARES_REGISTRY_EX]/@body/@ViewType[main]/@query/@selectSequence/@selectSubquery/@subqueries.0/@query/@baseSubquery/@baseAliasList/@alias_item[C_INSURANCE_TYPE_CODE]/@aliasExpression/@left/@left/@left/@left/@left/@5035426/UDF""
}"
CLIENT	VW_CRIT_PSH_CLIENT_TO_UPDATE_1		52	analytic_and_fetch_bad_use	WARNING	JAVA,PLSQL	Данный вызов порождает необходимость повторного чтения результирующего набора, что приводит к ухудшению производительности		"								fetch 1) > 0 then"	"{
  ""SUPPRESSION_URI"" : ""ENTITY/CLIENT/VW_CRIT_PSH_CLIENT_TO_UPDATE_1.vw/0/@PLPView[VW_CRIT_PSH_CLIENT_TO_UPDATE_1]/@body/@ViewType[main]/@query/@selectSequence/@selectSubquery/@subqueries.0/@query/@baseSubquery/@baseAliasList/@alias_item[C_CARD]/@aliasExpression/@left/@left/@left/@left/@left/@expression/@items.0/@thenExpression/@left/@left/@left/@left/@left/@expression/@items.0/@whenExpression/@left/@left/@left/@left/@left/@left/@expression/@-1277964105/ANALYTIC_AND_FETCH_BAD_USE""
}"
PLAN_OPER	VW_CRIT_PLAN_OPER_EXT		28	matching_types	WARNING	DBI	Несоответствие типов для выражения x%collection		"			to_number(x%collection) : C_COLLECTION_ID,"	"{
  ""SUPPRESSION_URI"" : ""TYPE/STRUCTURE/PLAN_OPER/VW_CRIT_PLAN_OPER_EXT.vw/0/@PLPView[VW_CRIT_PLAN_OPER_EXT]/@body/@ViewType[main]/@query/@selectSequence/@selectSubquery/@subqueries.0/@query/@baseSubquery/@baseAliasList/@alias_item[C_COLLECTION_ID]/@aliasExpression/@left/@left/@left/@left/@left/@expression/@parts.1/@parList/@parItemList.0/@-1198978805/MATCHING_TYPES""
}"
PLAN_OPER	VW_CRIT_PLAN_OPER_EXT		29	matching_types	WARNING	DBI	Несоответствие типов для выражения x%id		"			to_number(x%id) : C_ID --Башкиров В.Г. 07.10.2019"	"{
  ""SUPPRESSION_URI"" : ""TYPE/STRUCTURE/PLAN_OPER/VW_CRIT_PLAN_OPER_EXT.vw/0/@PLPView[VW_CRIT_PLAN_OPER_EXT]/@body/@ViewType[main]/@query/@selectSequence/@selectSubquery/@subqueries.0/@query/@baseSubquery/@baseAliasList/@alias_item[C_ID]/@aliasExpression/@left/@left/@left/@left/@left/@expression/@parts.1/@parList/@parItemList.0/@3613832/MATCHING_TYPES""
}"
PSH_F0403203_2_3	VW_CRIT_PSH_MD_F203_209		21	udf	WARNING	DBI,JAVA,PLSQL	В DBI нет пользовательских функций		                        A1.[SUM_PO] * [DOCUMENT].[LIB_CUR].GET_RATE(A1.[VALUTA_PO]%id, A1.[DATE_PROV])),	"{
  ""SUPPRESSION_URI"" : ""TYPE/STRUCTURE/PSH_F0403203_2_3/VW_CRIT_PSH_MD_F203_209.vw/0/@PLPView[VW_CRIT_PSH_MD_F203_209]/@body/@ViewType[main]/@query/@selectSequence/@selectSubquery/@subqueries.0/@query/@baseSubquery/@baseAliasList/@alias_item[C_COURS_SUM]/@aliasExpression/@left/@left/@left/@left/@left/@expression/@left/@left/@left/@left/@left/@expression/@parts.1/@parList/@parItemList.2/@due_to_outline_for_pi/@left/@left/@left/@left/@left/@expression/@parts.1/@parList/@parItemList.3/@due_to_outline_for_pi/@left/@left/@left/@right/@left/@1705836996/UDF""
}"
PSH_F0403203_2_3	VW_CRIT_PSH_MD_F203_209		22	udf	WARNING	DBI,JAVA,PLSQL	В DBI нет пользовательских функций		                    A1.[SUM] * [DOCUMENT].[LIB_CUR].GET_RATE(A1.[VALUTA]%id, A1.[DATE_PROV]))) : C_COURS_SUM,	"{
  ""SUPPRESSION_URI"" : ""TYPE/STRUCTURE/PSH_F0403203_2_3/VW_CRIT_PSH_MD_F203_209.vw/0/@PLPView[VW_CRIT_PSH_MD_F203_209]/@body/@ViewType[main]/@query/@selectSequence/@selectSubquery/@subqueries.0/@query/@baseSubquery/@baseAliasList/@alias_item[C_COURS_SUM]/@aliasExpression/@left/@left/@left/@left/@left/@expression/@left/@left/@left/@left/@left/@expression/@parts.1/@parList/@parItemList.3/@due_to_outline_for_pi/@left/@left/@left/@right/@left/@-1910292070/UDF""
}"
PSH_F0403203_2_3	VW_CRIT_PSH_MD_F203_209		33	udf	WARNING	DBI,JAVA,PLSQL	Обнаружен UDF исполняемый во время fetch-а SQL		            A1%statename : C_STATE_ID,	"{
  ""SUPPRESSION_URI"" : ""TYPE/STRUCTURE/PSH_F0403203_2_3/VW_CRIT_PSH_MD_F203_209.vw/0/@PLPView[VW_CRIT_PSH_MD_F203_209]/@body/@ViewType[main]/@query/@selectSequence/@selectSubquery/@subqueries.0/@query/@baseSubquery/@baseAliasList/@alias_item[C_STATE_ID]/@aliasExpression/@left/@left/@left/@left/@left/@1177951271/UDF""
}"
PSH_F0403203_2_3	VW_CRIT_PSH_MD_F203_209		51	matching_types	WARNING	DBI	Не удается определить тип для выражения A1.[DOC_SEND_REF]->(true)[VID_SEND]		            A1.[DOC_SEND_REF]->(true)[VID_SEND] : C_VID_SEND,	"{
  ""SUPPRESSION_URI"" : ""TYPE/STRUCTURE/PSH_F0403203_2_3/VW_CRIT_PSH_MD_F203_209.vw/0/@PLPView[VW_CRIT_PSH_MD_F203_209]/@body/@ViewType[main]/@query/@selectSequence/@selectSubquery/@subqueries.0/@query/@baseSubquery/@baseAliasList/@alias_item[C_VID_SEND]/@aliasExpression/@left/@left/@left/@left/@left/@-1579408051/MATCHING_TYPES""
}"
